track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,release_date,in_playlist
023OVLNzXhX0j7CxswUt6D,Cheerleader - Felix Jaehn Remix Radio Edit,['OMI'],64,Me 4 U,spotify:track:023OVLNzXhX0j7CxswUt6D,0.78,0.68,4,-6.081,1,0.0305,0.141,1.2e-05,0.138,0.594,118.026,audio_features,023OVLNzXhX0j7CxswUt6D,https://api.spotify.com/v1/tracks/023OVLNzXhX0j7CxswUt6D,https://api.spotify.com/v1/audio-analysis/023OVLNzXhX0j7CxswUt6D,180560,4,2015,0
2v4C96TlpGJQ4BjaLFxvIg,Don't Tell Nobody,['ONE OR EIGHT'],51,Don't Tell Nobody,,0.773,0.838,4,-3.94,0,0.0848,0.0537,0.0,0.0809,0.626,114.997,audio_features,,,,173925,4,2024,1
7iN1s7xHE4ifF5povM6A48,Let It Be - Remastered 2009,['The Beatles'],77,Let It Be (Remastered),spotify:track:7iN1s7xHE4ifF5povM6A48,0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462,audio_features,7iN1s7xHE4ifF5povM6A48,https://api.spotify.com/v1/tracks/7iN1s7xHE4ifF5povM6A48,https://api.spotify.com/v1/audio-analysis/7iN1s7xHE4ifF5povM6A48,243027,4,1970,0
3r6gtBHcftDdPhHYWbqjiF,Bankrupt,['Maryon King'],32,Bankrupt,,0.602,0.786,3,-5.357,1,0.0348,0.0103,6.88e-06,0.161,0.629,134.944,audio_features,,,,168588,4,2024,1
61BelHHS1kfXAmMMchw43o,They Don't Know,['Disciples'],39,They Don't Know (Original Mix),spotify:track:61BelHHS1kfXAmMMchw43o,0.807,0.778,0,-5.485,1,0.0399,0.0132,0.666,0.109,0.788,120.001,audio_features,61BelHHS1kfXAmMMchw43o,https://api.spotify.com/v1/tracks/61BelHHS1kfXAmMMchw43o,https://api.spotify.com/v1/audio-analysis/61BelHHS1kfXAmMMchw43o,330920,4,2014,0
1sAmeoZhFTFplfbP62aX4i,Man,['Indi Star'],21,eMotion Sick,,0.859,0.461,8,-5.874,1,0.0476,0.157,3.02e-05,0.0972,0.615,110.021,audio_features,,,,201272,4,2024,1
0xcdw2bWgJ4lrt3qZJrZ1o,Perdição,['L7NNON'],65,Hip Hop Rare,spotify:track:0xcdw2bWgJ4lrt3qZJrZ1o,0.839,0.334,1,-13.277,0,0.147,0.592,0.0,0.12,0.501,120.0,audio_features,0xcdw2bWgJ4lrt3qZJrZ1o,https://api.spotify.com/v1/tracks/0xcdw2bWgJ4lrt3qZJrZ1o,https://api.spotify.com/v1/audio-analysis/0xcdw2bWgJ4lrt3qZJrZ1o,275000,4,2020,0
6piAUJJQFD8oHDUr0b7l7q,VALENTINO,['24kGoldn'],66,DROPPED OUTTA COLLEGE,spotify:track:6piAUJJQFD8oHDUr0b7l7q,0.746,0.717,9,-4.841,0,0.179,0.199,0.0,0.132,0.523,150.964,audio_features,6piAUJJQFD8oHDUr0b7l7q,https://api.spotify.com/v1/tracks/6piAUJJQFD8oHDUr0b7l7q,https://api.spotify.com/v1/audio-analysis/6piAUJJQFD8oHDUr0b7l7q,179133,4,2019,0
7F24giQdWEKip6mIyGuGs7,Stay In Your Grave (feat. Alice Cooper),"['The Black Keys', 'Alice Cooper']",58,Stay In Your Grave (feat. Alice Cooper),spotify:track:7F24giQdWEKip6mIyGuGs7,0.233,0.902,4,-1.447,0,0.0693,0.00233,0.0,0.243,0.518,99.08,audio_features,7F24giQdWEKip6mIyGuGs7,https://api.spotify.com/v1/tracks/7F24giQdWEKip6mIyGuGs7,https://api.spotify.com/v1/audio-analysis/7F24giQdWEKip6mIyGuGs7,139539,4,2024,0
0IhYrJ0fTqan2lG4CBOyHv,Bathing In Moonlight,['Ricky Asch'],8,Bathing In Moonlight,,0.637,0.737,10,-6.284,0,0.0355,0.017,1.23e-05,0.0792,0.451,94.97,audio_features,,,,195595,4,2024,1
2K7vmv62BpMRIySly2w4nO,No Heroes,"['LUNAX', 'Luca Schreiner', 'ANY']",57,No Heroes,,0.656,0.726,11,-7.156,0,0.0293,0.252,6.02e-05,0.423,0.56,130.018,audio_features,,,,121135,4,2024,1
1JPPX1DlbQyC4L3cYBRcH1,Empty Country,['Couvo'],30,Empty Country,,0.481,0.721,4,-7.206,1,0.052,0.000318,0.00218,0.331,0.707,173.821,audio_features,,,,212203,4,2024,1
77qU2pqTe4spkWxNWx0JqJ,Don't Look Down,['The Fray'],51,Don't Look Down,spotify:track:77qU2pqTe4spkWxNWx0JqJ,0.591,0.901,7,-5.203,1,0.0492,0.0328,1.4e-05,0.0503,0.514,116.986,audio_features,77qU2pqTe4spkWxNWx0JqJ,https://api.spotify.com/v1/tracks/77qU2pqTe4spkWxNWx0JqJ,https://api.spotify.com/v1/audio-analysis/77qU2pqTe4spkWxNWx0JqJ,198133,4,2024,0
6kTMnty169llVx9sGHb6LD,Solo,"['Amenazzy', 'Lary Over']",71,Solo,spotify:track:6kTMnty169llVx9sGHb6LD,0.637,0.513,11,-6.846,0,0.283,0.3,0.000571,0.0981,0.27,196.088,audio_features,6kTMnty169llVx9sGHb6LD,https://api.spotify.com/v1/tracks/6kTMnty169llVx9sGHb6LD,https://api.spotify.com/v1/audio-analysis/6kTMnty169llVx9sGHb6LD,231909,4,2017,0
6PCOdq7GariMRqPg5dRXLz,All Summer - Remix,"['The Friendly Parrot', 'Katharina Iwan', 'Inflection']",5,All Summer - Remixes,,0.712,0.834,11,-6.779,0,0.0456,0.0497,0.000419,0.597,0.42,125.99,audio_features,,,,179000,4,2024,1
4oZjw3VRWAfSeWxV0Q3RiW,Wander,['Kanin Wren'],11,Wander,,0.648,0.501,1,-10.102,1,0.0559,0.583,0.0,0.0908,0.49,132.0,audio_features,,,,190909,4,2024,1
5Z3trOR982mBrJcPfrLUsq,Cocaine Model,['ZHU'],56,THE NIGHTDAY,spotify:track:5Z3trOR982mBrJcPfrLUsq,0.786,0.706,9,-6.212,0,0.0537,0.251,0.213,0.142,0.313,120.011,audio_features,5Z3trOR982mBrJcPfrLUsq,https://api.spotify.com/v1/tracks/5Z3trOR982mBrJcPfrLUsq,https://api.spotify.com/v1/audio-analysis/5Z3trOR982mBrJcPfrLUsq,255093,4,2014,0
